date,security,price,source,file,kind
1801-04-18,NY ins. shares,109.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-04-25,US Bank Stock,133.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-04-25,Columbian Ins. Shares,117.5,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-04-25,8%,108.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-04-25,navy 6%,91.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-04-25,3%,53.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-04-25,6%,88.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-04-25,Manhattan Bank stock,125.5,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-04-25,NY Bank stock,131.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-04-25,NY ins. shares,108.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-05-02,Columbian Ins. Shares,120.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-05-02,8%,109.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-05-02,6%,88.75,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-05-02,Manhattan Bank stock,125.5,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-05-02,US Bank Stock,134.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-05-02,navy 6%,91.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-05-02,3%,55.75,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-05-02,NY ins. shares,109.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-05-02,NY Bank stock,126.5,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-05-09,NY Bank stock,127.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-05-09,Columbian Ins. Shares,120.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-05-09,NY ins. shares,110.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-05-09,Manhattan Bank stock,125.5,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-05-09,navy 6%,92.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-05-09,6%,88.75,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-05-09,US Bank Stock,135.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-05-09,3%,53.75,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-05-09,8%,110.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-05-16,US Bank Stock,135.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-05-16,NY ins. shares,110.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-05-16,NY Bank stock,127.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-05-16,navy 6%,92.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-05-16,8%,110.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-05-16,3%,53.75,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-05-16,6%,88.75,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-05-16,Columbian Ins. Shares,123.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-05-16,Manhattan Bank stock,125.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-05-23,NY Bank stock,127.5,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-05-23,6%,88.75,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-05-23,8%,110.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-05-23,3%,53.75,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-05-23,navy 6%,92.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-05-23,US Bank Stock,135.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-05-23,Manhattan Bank stock,125.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-05-23,Columbian Ins. Shares,110.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-05-30,Manhattan Bank stock,125.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-05-30,US Bank Stock,135.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-05-30,Columbian Ins. Shares,109.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-05-30,6%,89.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-05-30,8%,110.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-05-30,navy 6%,92.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-05-30,3%,54.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-05-30,NY ins. shares,112.5,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-05-30,NY Bank stock,127.5,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-06-06,Manhattan Bank stock,126.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-06-06,NY ins. shares,116.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-06-06,NY Bank stock,127.5,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-06-06,Columbian Ins. Shares,109.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-06-06,8%,110.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-06-06,navy 6%,93.75,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-06-06,US Bank Stock,135.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-06-06,6%,90.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-06-13,US Bank Stock,137.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-06-13,8%,111.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-06-13,NY Bank stock,128.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-06-13,NY ins. shares,118.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-06-13,Columbian Ins. Shares,112.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-06-13,Manhattan Bank stock,127.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-06-13,6%,91.25,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-06-13,navy 6%,95.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-06-20,Columbian Ins. Shares,114.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-06-20,8%,111.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-06-20,US Bank Stock,138.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-06-20,NY Bank stock,128.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-06-20,navy 6%,95.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-06-20,NY ins. shares,117.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-06-20,Manhattan Bank stock,127.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-06-20,6%,91.25,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-06-27,navy 6%,93.75,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-06-27,Columbian Ins. Shares,115.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-06-27,6%,90.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-07-04,NY Bank stock,28.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-07-04,8%,110.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-07-04,navy 6%,93.75,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-07-04,6%,91.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-07-04,US Bank Stock,35.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-07-04,Columbian Ins. Shares,114.5,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-07-04,Manhattan Bank stock,22.25,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-07-11,8%,110.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-07-11,6%,91.25,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-07-11,Manhattan Bank stock,22.5,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-07-11,US Bank Stock,35.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-07-11,NY Bank stock,29.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-07-11,Columbian Ins. Shares,115.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-07-11,navy 6%,94.25,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-07-11,NY ins. shares,110.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-07-18,Manhattan Bank stock,22.5,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-07-18,navy 6%,94.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-07-18,6%,91.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-07-18,NY ins. shares,114.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-07-18,NY Bank stock,29.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-07-18,8%,111.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-07-18,US Bank Stock,35.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-07-18,Columbian Ins. Shares,119.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-07-25,8%,112.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-07-25,Manhattan Bank stock,22.5,NY Price Current,New York Price Current 1800-1817.xls,Bank
